publishedAt,authorDisplayName,textDisplay,likeCount
2023-05-08T06:52:20Z,Mentari Di upuk timur,Survei bohongan untuk menarik simpati rakyat.,0
2023-05-08T06:34:13Z,Eby Saputra,Pertanyaan nya ini lembaga survei lewat mana mereka mengsurvei kita rakyat biasa di sini aja belum pernah tuh di tanya satu persatu apa pilih pilpres anda kok bisa tau taunya unggul 😅😅😂😂😂😂😂😂😂😂😂,0
2023-05-08T05:47:31Z,Nasrul Nr,"Saya orang Sulsel, mayoritas di sni mendukung Anies tpi saya tetap mendukung Ganjar,, walaupun sebelumnya saya kadeer Nasdem",0
2023-05-08T05:46:45Z,Min Chyun,Jangan lupa Bismillah❤,0
2023-05-08T04:42:03Z,Yoga Reynanda,Prabowo pemimpin terbaik dan sangat cocok jadi presiden RI ya lain masih amatir,1
2023-05-08T04:30:56Z,Ausie 74,Survey electabilitas Anak-anak 😀🤣😀,0
2023-05-08T04:14:48Z,Riyanarto Salim,"Saya mendukung Pa Prabowo Jadi Presiden dan Pa Anies Jadi Wakil Presiden.Saya mohon baik Pa Prabowo dan Pa Anies berjanji pada rakyat bawa tidak akan menghidupkan baik FPI maupun HTI. Saya mohon pa Anies mendaftar jadi Kader PKS jadi tidak independen untuk kemudian Pa Anies jadi Presiden PKS. Saya mohon kepada Pa Prabowo dan Pa Anies perintahkan kepada kami para Pendukungnya untuk tidak adu domba dan menjelek jelekkan pa Ganjar, ibu Mega,PDIP. Tetapi seperti Pa Ganjar dan Pendukungnya yang tetap rendah hati dan sopan dan santun.Suwun❤️❤️❤️🙏🙏",0
2023-05-08T01:47:28Z,Hola75,Tak ada yang menarik,0
2023-05-08T01:05:04Z,Abe_89,Bismillah ganjar,0
2023-05-08T00:39:01Z,Uchox Nasution,Prabowo bagus tapi sudah kurang produktif karena faktor usia. Ganjar bagus dan produktif...,0
2023-05-08T00:35:56Z,Uchox Nasution,Alhamdulillah...,0
2023-05-07T23:29:09Z,Erik,Klu sy lebih yakin dg Pak Anis,0
2023-05-07T23:17:52Z,Mella 124,"Rakyat GK butuh survey,,",0
2023-05-07T23:17:25Z,Mella 124,"Klo GK jadi ngamuk,atau berkata curang,karena survey tinggi,jgn salahin rakyat,salahin yg survey loh",0
2023-05-07T23:01:26Z,Menclank Geming,CUMA PAK ANIES YG LAYAK JD PRESIDEN RI 2024....SMART N GAK  PLONGA PLONGO👍👍👍,0
2023-05-07T22:29:46Z,N Meci,Jadi ingat pilgub dki. Hasil survey anies ditempatkan di urutan buncit tapi akhirnya jadi pemenang😂😂,0
2023-05-07T18:28:33Z,Verolista Safitri,Ganjar yes..,0
2023-05-07T17:32:56Z,Ahmad Hasibuan,Survey😂😂😂,0
2023-05-07T17:18:31Z,Azrul Azis,Survey independe diindonesia timur untuk anis<br>Sullawesi selatan 87%<br>Suawesi tenggara 75%<br>Sulawesi tengah 66%<br>Sulawesi barat 80%<br>Sulawesi utara 35%<br>Maluku tengah 45%<br>Maluku utara 70%<br>Maluku tenggara 40%<br>Papua  35%<br>Papua barat 57%,1
2023-05-08T00:02:20Z,Ady Bdg,Iya udah iya 😭😭😭😭,0
2023-05-07T16:57:08Z,MatiusTony Samara,Ganjar RI 1 yes,0
2023-05-07T16:53:17Z,kata bijak99,Prediksi angin saya tetap prabowo,0
2023-05-07T16:52:06Z,kata bijak99,Prabowo president❤,0
2023-05-07T16:51:20Z,angga putra,Semoga pak ganjar jadi presiden dunia maya.AMINNN,0
2023-05-07T15:39:11Z,Mutiara Islam Official,Presiden palestina,0
2023-05-07T15:31:59Z,Hari Yunal,Bolehlah fanatik..tp ga gitu2 amatlah..buka mata.pasang telinga..udh jelas2 gak ad kemajuan eeeee malah didukung jg.jangan salahkan pemerintah nantik kalau negri ini tambah ancurrr,0
2023-05-07T15:28:14Z,Hari Yunal,Saya pilih p.Anis baswedan,0
2023-05-07T15:24:57Z,Mustaqien Mustaqien,"Warga wadas di tindas kenapa elektabilitas ganjar yg di atas...  <br>Bos sayuran saja ketika di pasar pasti mencari untung, apalagi bos lembaga survei..  <br>Alhmdllah rakyat sudah semakin cerdas",0
2023-05-07T14:34:00Z,Aji Purnomo Ashter,Ganjar akan Tumbang di lap ke 2,0
2023-05-07T14:33:41Z,Mburi Omah Studio,Emang ngaco survey&quot; ky gini,0
2023-05-07T14:32:14Z,Siswanto Susilo,Yang penting bukan anis..,0
2023-05-07T14:18:30Z,Totok Malaon,Survei bayaran yang punya uang banyak pasti di UNGGULAKAN.,0
2023-05-07T13:54:38Z,Dwiky Darmawan,Ganjar pranowo Andika perkasa,0
2023-05-07T13:54:14Z,Dwiky Darmawan,Ganjar pranowo Andika perkasa,0
2023-05-07T13:53:47Z,Dwiky Darmawan,Ganjar pranowo Andika perkasa.,0
2023-05-07T13:47:27Z,Dwiky Darmawan,Semoga pak Andika perkasa dicalonkan jadi wakil Pak Ganjar pranowo.!,0
2023-05-07T13:44:16Z,nataliuss,Top Ganjar Pranowo. Asli pribumi,0
2023-05-07T13:31:34Z,Adhi Suwedi,Sufay gj netral,0
2023-05-07T13:08:03Z,Hafiz Bungo,Asal jgn anis yg masuk ke putaran ke 2..,0
2023-05-07T12:35:30Z,Amanda Chanel,Porno akan laris😂😂,0
2023-05-07T12:56:36Z,Garong Anggaran,Ente kandrun 😁😁😁,0
2023-05-07T12:31:52Z,Susatio,Pilihan saya<br>Presidennya Mahfud MD<br>Wapresnya Gibran raka bumi,0
2023-05-07T12:31:46Z,Rifky Prayoga,Prabowo mahfud,0
2023-05-07T12:18:18Z,Erwin Zulkarnain,Waw survey nya dimana itu?😂,0
2023-05-07T12:13:27Z,Solder Bengkong,Apa pun presiden nya kita tetap makan nasi.. Memilihlah krn kerja nya bukan karna janji2 nya.. Karna Semua Kandidat fanatik dan tidak melambangkan bineka tunggal ika jadi saya tidak memilih semua..,0
2023-05-07T12:08:45Z,Batam Botania,Ganjar  2024,0
